"agencia"	"suba"	"direccion"	"reca_prom"	"nbi"	"avenida"	"escuelas"	"salud"	"supermercado"	"parada_bus"	"cantpersona"	"edad0a19"	"edad20a65"	"edad65mas"	"ocupado"	"desocupado"	"inactivo"	"Inicial"	"primario"	"egb"	"secundario"	"polimodal"	"superior"	"universitario"	"postuniversitario"	"especial"
172	2	SANTA FE 2559 - VILLA GHIO	341820.277777777778	129	0	0	1	0	0	1838	717	838	37	648	39	430	78	913	136	267	36	25	33	1	11
165	14	AGUSTIN ANDREANI 128	320246.000000000000	12	1	0	0	2	0	533	136	311	46	304	9	111	15	108	42	159	24	51	81	6	4
172	9	SANTA FE 1422	672735.777777777778	16	0	4	0	0	0	917	173	596	96	451	13	312	25	227	60	275	35	92	148	9	5
280	0	RUTA 11, KM 1008 Vº CRISTO REY	484270.333333333333	9	0	0	0	0	0	380	89	248	21	227	8	78	13	134	19	121	13	26	17	0	5
165	10	PJE. LA RIOJA 2315	653458.388888888889	40	0	0	0	0	0	1118	349	631	32	514	36	285	38	480	21	362	22	48	39	2	3
430	1	AV. LAVALLE  2097	591872.000000000000	20	0	3	0	0	0	735	193	394	57	291	23	238	23	320	30	224	13	36	23	1	6
110	8	C. SAN JUAN  1675 VILLA ENCARNACION	327998.000000000000	39	0	0	0	0	0	1347	344	771	108	613	31	381	39	371	74	418	49	100	137	8	6
172	33	AV. LAVALLE  1402 (RES. 0070/16)	1602423.055555555556	25	1	0	1	1	2	912	218	555	59	402	21	300	25	345	11	313	21	58	73	4	5
110	19	RAUL B.DIAZ 935	58428.111111111111	25	0	0	1	0	0	912	218	555	59	402	21	300	25	345	11	313	21	58	73	4	5
413	1	SICAS  135	236018.277777777778	44	0	0	0	1	0	770	200	445	36	354	11	221	18	355	64	177	37	25	30	0	0
560	1	CORRIENTES  498	949768.111111111111	29	0	0	0	0	0	790	234	423	45	315	11	251	16	388	52	161	22	15	21	1	0
355	15	SAN FERNANDO  299 (CORRIENTES  1101)	192884.055555555556	4	0	0	0	0	0	714	119	475	73	423	12	175	16	130	14	223	15	68	197	25	1
172	18	CORRIENTES 1298	229489.388888888889	4	0	0	0	0	0	714	119	475	73	423	12	175	16	130	14	223	15	68	197	25	1
172	14	SANTA FE 1311	98724.111111111111	4	0	4	0	0	0	714	119	475	73	423	12	175	16	130	14	223	15	68	197	25	1
333	2	SAN FERNANDO 640	496848.555555555556	1	0	3	0	1	0	717	120	462	97	392	20	209	15	110	14	248	16	64	197	18	1
110	17	RAUL B.DIAZ 557	699065.555555555556	7	0	1	0	0	1	961	204	613	75	473	16	292	28	250	38	310	19	66	171	13	3
110	0	AV. LAVALLE  1100	908741.444444444444	26	1	0	0	0	1	1221	296	742	84	594	62	323	34	421	30	407	18	65	124	7	9
110	21	AV. RIVADAVIA  1012 V°. ODORICO	283131.666666666667	26	0	0	0	0	1	1221	296	742	84	594	62	323	34	421	30	407	18	65	124	7	9
577	0	AV. AVALOS 935	1517233.111111111111	5	1	0	0	0	2	702	133	441	72	341	25	208	22	149	35	227	14	77	120	8	5
164	0	AV. SAVIN 296	519095.000000000000	30	1	0	0	0	2	1209	288	771	54	649	22	272	46	327	41	364	11	100	222	10	4
359	0	AV. DR. SABIN 761	1002611.055555555556	29	1	1	0	0	1	1183	316	701	31	584	35	279	29	491	27	416	34	30	51	4	4
333	6	ORQUIDEAS 137 V.RIO NEGRO	374499.166666666667	49	1	1	0	0	3	1189	298	744	52	555	33	359	36	412	18	491	4	47	70	1	6
355	3	AV. AVALOS   398	38315.666666666667	1	1	0	0	0	3	600	96	406	67	329	9	182	20	59	20	153	6	51	259	12	3
341	1	SANTA FÉ  244	71634.611111111111	1	1	0	0	0	1	600	96	406	67	329	9	182	20	59	20	153	6	51	259	12	3
633	0	Santa Fe  546	93909.545454545455	1	1	8	0	0	0	573	88	380	72	320	8	151	17	55	17	137	15	60	235	21	0
333	0	AV. LAVALLE 274	486671.000000000000	0	1	2	0	0	0	713	113	466	92	411	12	183	21	82	18	167	8	104	272	15	1
564	0	PUEYRREDON  694	833394.666666666667	0	1	2	0	0	0	713	113	466	92	411	12	183	21	82	18	167	8	104	272	15	1
413	0	REMEDIOS DE ESCALADA  525	198383.222222222222	10	1	3	0	0	1	619	104	400	83	319	16	178	22	75	17	138	11	83	234	15	1
560	0	AV. RIVADAVIA  464	742733.055555555556	10	1	0	0	0	0	619	104	400	83	319	16	178	22	75	17	138	11	83	234	15	1
580	1	AV. LAVALLE  402	284341.555555555556	10	1	3	0	0	1	619	104	400	83	319	16	178	22	75	17	138	11	83	234	15	1
341	0	POSADAS  586	524792.555555555556	2	1	2	0	0	0	573	89	376	86	330	5	180	13	73	19	133	16	58	235	11	1
341	7	AV. AVALOS  629	313807.611111111111	4	1	0	0	0	0	741	126	473	80	419	8	189	11	128	13	183	17	97	237	23	5
333	7	AV. LOS INMIGRANTES  250	434086.277777777778	27	1	0	0	0	2	878	185	526	90	412	33	247	22	261	45	269	32	78	104	4	4
643	0	LINIERS  1725	413757.000000000000	74	0	0	0	0	0	1560	497	833	47	635	55	392	54	604	97	423	55	39	67	6	8
624	0	HIPÓLITO IRIGOYEN  1576	3061455.777777777778	13	1	1	0	0	2	370	55	241	56	178	6	69	12	50	5	82	7	53	125	20	0
233	2	AV. SARMIENTO  141	39845.555555555556	13	1	1	0	0	0	370	55	241	56	178	6	69	12	50	5	82	7	53	125	20	0
681	0	MITRE  292	596982.000000000000	13	1	1	0	0	1	370	55	241	56	178	6	69	12	50	5	82	7	53	125	20	0
266	0	MITRE 292	1116708.285714285714	13	1	1	0	0	1	370	55	241	56	178	6	69	12	50	5	82	7	53	125	20	0
637	0	AYACUCHO  89	910091.388888888889	13	1	5	0	0	1	370	55	241	56	178	6	69	12	50	5	82	7	53	125	20	0
511	0	LÓPEZ Y PLANES  273	682125.222222222222	1	0	1	0	0	0	540	67	370	74	267	7	141	9	74	19	135	9	55	205	16	0
384	0	HIPOLITO IRIGOYEN  153	866821.888888888889	1	1	3	0	0	2	540	67	370	74	267	7	141	9	74	19	135	9	55	205	16	0
261	0	HIPÓLITO IRIGOYEN  299	468816.222222222222	1	1	4	0	0	1	540	67	370	74	267	7	141	9	74	19	135	9	55	205	16	0
637	2	DON BOSCO  471	107098.529411764706	1	1	4	0	0	1	537	85	362	62	318	7	144	7	55	22	101	19	59	227	24	2
378	2	H. IRIGOYEN  330	51048.333333333333	1	1	3	0	1	2	537	85	362	62	318	7	144	7	55	22	101	19	59	227	24	2
653	0	Av. Italia  69	306806.312500000000	1	1	2	0	1	7	537	85	362	62	318	7	144	7	55	22	101	19	59	227	24	2
653	2	BROWN  608	98659.500000000000	2	1	3	0	0	0	639	117	408	76	368	18	161	15	67	21	130	9	61	285	31	0
261	3	HIPOLITO YRIGOYEN  586	592682.555555555556	2	1	3	0	0	7	639	117	408	76	368	18	161	15	67	21	130	9	61	285	31	0
413	2	AV. LAPRIDA  647	274916.000000000000	16	1	1	0	1	0	708	98	477	97	402	9	219	14	87	12	193	15	78	274	9	2
413	5	AV. ITALIA  627	271327.388888888889	2	1	1	0	1	0	614	87	425	74	317	17	174	14	78	6	136	11	57	266	22	0
637	4	PARAGUAY  431	112988.818181818182	2	1	4	0	0	2	614	87	425	74	317	17	174	14	78	6	136	11	57	266	22	0
552	0	FRENCH Y CORDOBA	792091.277777777778	2	1	3	0	0	0	614	87	425	74	317	17	174	14	78	6	136	11	57	266	22	0
264	0	AV. PARAGUAY  224	741008.444444444444	9	1	8	0	1	0	710	97	479	98	370	14	188	19	113	14	127	10	76	279	43	1
358	0	CORDOBA  217	1007594.666666666667	9	1	4	0	0	0	710	97	479	98	370	14	188	19	113	14	127	10	76	279	43	1
145	15	CORDOBA  3419 - Bº LA LIGURIA	254628.611111111111	1	1	3	0	0	0	664	94	457	90	291	12	153	11	81	17	137	15	78	259	23	1
431	0	AV SARMIENTO N` 944 VILLA SAN MARTIN	565304.388888888889	14	1	7	0	0	0	865	159	557	93	426	16	278	30	167	29	274	26	49	228	10	7
431	7	AV SARMIENTO N` 1236	333548.117647058824	14	1	0	0	1	1	865	159	557	93	426	16	278	30	167	29	274	26	49	228	10	7
285	0	AV. ITALIA 1195	1185144.388888888889	10	1	3	0	1	0	690	135	442	74	384	38	165	17	130	12	209	18	72	196	3	1
597	0	MONTEAGUDO  1147	383172.888888888889	17	1	3	0	1	0	997	243	605	76	465	44	292	23	273	11	347	20	75	170	6	4
597	5	Monteagudo  1510	146768.538461538462	18	1	0	0	1	1	983	204	607	98	493	26	284	24	256	46	356	16	59	154	8	5
333	5	AV. SARMIENTO 1499	935722.277777777778	15	1	0	0	1	0	898	180	582	59	442	22	277	19	245	48	304	34	63	127	8	7
431	3	PELLEGRINI N` 1620	61330.388888888889	15	1	2	0	0	0	898	180	582	59	442	22	277	19	245	48	304	34	63	127	8	7
285	2	AV. ITALIA  1655	1312272.333333333333	1	1	0	1	2	0	619	133	415	39	335	18	143	27	97	18	168	12	47	185	18	1
637	1	AV. VELEZ SARSFIELD  425	468165.611111111111	15	1	1	0	0	0	711	156	456	59	336	32	210	26	145	18	231	12	61	159	10	4
581	0	AYACUCHO  995	121940.500000000000	15	1	0	0	0	0	711	156	456	59	336	32	210	26	145	18	231	12	61	159	10	4
505	1	RAMON VAZQUEZ  219 (MZ. 45 - PC.14 - C	1254625.222222222222	4	1	3	0	0	0	959	203	613	93	352	23	182	16	274	21	243	7	78	212	15	2
505	0	AV. 9 DE JULIO  1100	814930.388888888889	4	1	4	1	0	1	959	203	613	93	352	23	182	16	274	21	243	7	78	212	15	2
534	0	AV. VELEZ SARFIELD  55	250498.666666666667	4	1	3	0	0	1	959	203	613	93	352	23	182	16	274	21	243	7	78	212	15	2
622	0	BROWN  1602 ESQ. BORRINI	338890.555555555556	10	0	0	0	0	0	648	122	407	64	342	22	183	17	137	19	210	14	47	172	7	3
586	0	JOSE NOVERI  125	380190.777777777778	16	0	0	0	0	0	738	159	461	63	367	15	204	27	160	35	218	18	52	164	5	6
453	0	INSPECTOR PATIÑO  59	568928.222222222222	16	1	1	0	1	0	738	159	461	63	367	15	204	27	160	35	218	18	52	164	5	6
492	0	Avenida EDISON 2525	1305767.222222222222	45	0	0	0	0	0	1516	419	843	117	664	62	376	62	490	85	475	52	69	136	10	14
571	0	AV. VELEZ SATFIELD  604	302234.846153846154	43	1	0	0	0	0	990	261	555	68	442	30	268	32	365	18	305	18	62	103	2	4
506	0	MZ. 3 - PC. 19 - CH. 193 (SAN FELIPE	576713.833333333333	99	0	0	1	0	0	1330	460	692	39	566	38	329	49	550	91	343	76	20	43	0	10
429	0	NICOLAS ROJAS ACOSTA  901	1326014.388888888889	17	1	1	0	0	0	870	223	502	61	426	29	203	29	264	46	308	21	55	68	3	3
597	2	PJE. VELEZ SARFIELD  1142	188836.833333333333	29	0	1	0	0	0	878	257	500	32	348	22	284	25	366	22	293	38	15	34	2	4
378	4	AV. PARAGUAY  2802 B°. GOLF CLUB	204198.833333333333	67	0	0	0	0	0	1473	464	771	52	644	27	369	54	553	54	482	22	42	91	7	10
404	2	Angel D´ambra 499 y Jilguero 3400	573609.555555555556	34	0	0	0	0	0	1431	380	840	66	682	62	356	49	487	38	463	68	73	133	5	5
378	8	EMILIO ROMAN  270 B°. GRAL. MITRE	565591.444444444444	7	0	0	0	0	0	729	164	436	75	384	16	185	19	211	33	207	14	47	141	0	3
248	0	PC 120 UF 01 - LOCAL 01 B.MUJERES ARGENT	1908619.944444444444	20	0	3	0	1	1	1330	338	831	43	638	85	321	42	408	27	528	13	77	126	3	4
145	3	BROWN 3986 - LA LIGURIA	908743.388888888889	23	0	0	0	0	0	1049	289	612	34	528	28	252	35	328	19	350	31	59	144	14	5
607	15	ING. SCHUR  68	144378.444444444444	28	1	0	0	1	1	1085	241	656	89	478	23	349	29	411	38	316	30	75	95	4	4
378	0	AV. 9 DE JULIO  2302	972631.000000000000	28	1	0	0	1	1	1085	241	656	89	478	23	349	29	411	38	316	30	75	95	4	4
56	1	AV. 9 DE JULIO  1966	576405.444444444444	28	1	1	0	1	0	1085	241	656	89	478	23	349	29	411	38	316	30	75	95	4	4
378	3	BOUVIER  17	413352.666666666667	14	1	0	0	1	0	946	193	597	83	449	32	294	29	218	64	260	41	73	193	10	3
378	12	COCOMAROLA 196	88253.700000000000	14	1	0	0	0	0	946	193	597	83	449	32	294	29	218	64	260	41	73	193	10	3
56	14	AV.9 DE JULIO 2600	279560.500000000000	14	1	0	0	0	0	946	193	597	83	449	32	294	29	218	64	260	41	73	193	10	3
56	17	AMEGHINO  1845	516472.444444444444	37	0	0	0	0	0	1144	264	671	118	569	23	324	39	426	35	367	39	53	85	4	6
255	20	AV. CHACO  3006 - VILLA DON ANDRÉS	425611.333333333333	10	1	0	0	0	0	681	137	415	79	310	27	215	27	151	23	243	13	59	117	3	3
678	0	AV. CHACO  399	743210.600000000000	10	1	0	0	0	0	681	137	415	79	310	27	215	27	151	23	243	13	59	117	3	3
56	8	AV.CHACO 399	380176.428571428571	10	1	0	0	0	0	681	137	415	79	310	27	215	27	151	23	243	13	59	117	3	3
607	9	CALLE FRANKLIN  2643	48535.222222222222	33	0	0	0	0	0	846	246	496	27	364	26	241	24	390	7	269	19	15	22	0	3
648	0	AV. URQUIZA  567	1298380.470588235294	33	0	1	0	0	0	846	246	496	27	364	26	241	24	390	7	269	19	15	22	0	3
468	2	AV. CASTELLI  2801	614778.428571428571	8	1	0	0	0	0	794	201	471	38	376	18	218	23	306	39	277	15	27	31	0	5
607	0	AV. CASTELLI  2315	652740.388888888889	2	1	0	1	1	1	579	126	338	55	286	9	153	20	173	76	184	12	35	38	1	5
607	3	FRANKLIN  1904	787390.166666666667	33	0	0	0	0	0	1145	284	657	62	563	22	284	34	490	39	364	24	34	52	0	10
159	7	AV.CASTELLI 1630	1102937.833333333333	29	1	4	0	0	0	626	132	391	53	345	26	139	26	186	15	231	8	42	80	3	8
630	1	AV. URQUIZA  1099	221283.000000000000	28	1	0	0	0	0	1014	232	630	51	472	31	277	28	386	27	298	35	44	112	0	4
607	10	AV. CASTELLI  2532	476684.833333333333	28	1	0	0	0	0	1014	232	630	51	472	31	277	28	386	27	298	35	44	112	0	4
607	5	LEANDRO N. ALEM  2840	1319026.388888888889	15	1	1	0	0	0	575	152	361	15	280	31	149	16	194	24	153	53	41	36	3	2
630	0	CASTELAN  1317	1288427.000000000000	28	0	0	0	0	0	1125	293	688	40	515	50	295	39	439	60	334	30	58	59	1	4
409	0	AV. URQUIZA  1266	1258859.722222222222	13	1	0	0	1	0	855	227	523	29	407	42	221	21	238	43	297	39	50	79	4	9
607	1	MARTIN GOITIA  930	391590.388888888889	29	0	0	0	0	0	817	218	485	25	373	17	221	26	358	9	275	10	29	33	0	5
607	6	CALLE 15 - INGENIERO SCHUR  1600	1210998.888888888889	38	1	1	0	2	0	936	278	535	42	393	24	295	34	386	29	285	16	34	47	0	7
145	0	AV. 9 DE JULIO 3195	1435171.111111111111	1	1	3	0	0	1	25	3	22	0	22	0	0	0	2	0	10	0	2	8	0	0
468	1	AV. CASTELLI  3289	389097.333333333333	1	1	0	0	0	0	25	3	22	0	22	0	0	0	2	0	10	0	2	8	0	0
378	6	AMEGHINO  2420I	306093.277777777778	76	0	0	0	0	0	1265	325	726	93	508	74	381	46	508	74	357	52	48	52	0	7
607	2	ING. SCHULZ 930	569212.444444444444	27	1	0	0	0	0	849	190	543	39	401	34	249	23	272	47	293	32	60	66	1	5
607	14	Av. Castelli  1976	439513.250000000000	27	1	0	0	0	0	849	190	543	39	401	34	249	23	272	47	293	32	60	66	1	5
607	7	AVENIDA URQUIZA  1450	489851.277777777778	14	1	0	0	1	0	917	234	585	28	474	21	241	25	268	51	309	25	79	88	1	7
607	12	ROGER BALET  1002	206206.833333333333	15	0	1	0	0	0	549	144	328	17	247	14	151	23	194	19	176	21	26	37	1	0
468	0	AV. CASTELLI  3140	923457.777777777778	15	1	0	0	0	0	549	144	328	17	247	14	151	23	194	19	176	21	26	37	1	0
676	0	FRONDIZI  182 - LOCAL 11 -GALERIA MARA	199477.857142857143	1	1	0	0	0	8	580	86	413	62	324	7	164	9	50	12	113	10	73	264	20	2
551	0	JUAN B. JUSTO  299	534327.666666666667	1	1	2	0	0	0	580	86	413	62	324	7	164	9	50	12	113	10	73	264	20	2
375	0	ARTURO FRONDIZI  007	1480012.166666666667	1	1	0	0	0	7	580	86	413	62	324	7	164	9	50	12	113	10	73	264	20	2
2	0	JOSE MARIA PAZ 108	429941.222222222222	1	1	2	0	0	1	580	86	413	62	324	7	164	9	50	12	113	10	73	264	20	2
679	0	AV. 9 JULIO  293	1166445.250000000000	1	1	2	0	1	2	580	86	413	62	324	7	164	9	50	12	113	10	73	264	20	2
247	0	AV. 9 DE JULIO  166	303476.666666666667	1	1	2	0	0	3	580	86	413	62	324	7	164	9	50	12	113	10	73	264	20	2
1	0	ARTURO ILLIA 421	144400.888888888889	11	1	4	0	1	4	785	152	505	96	332	19	225	23	121	19	167	10	89	290	21	1
159	0	ARBOL Y BLANCO 228	474750.333333333333	11	1	2	0	0	0	785	152	505	96	332	19	225	23	121	19	167	10	89	290	21	1
585	0	JUAN B. JUSTO  646	2166568.833333333333	11	1	3	0	0	0	785	152	505	96	332	19	225	23	121	19	167	10	89	290	21	1
653	1	AV. 9 DE JULIO  553	256958.666666666667	11	1	3	0	0	9	785	152	505	96	332	19	225	23	121	19	167	10	89	290	21	1
130	0	ARTURO ILLIA 486	471694.777777777778	11	1	5	0	1	4	785	152	505	96	332	19	225	23	121	19	167	10	89	290	21	1
545	0	AV. SAN MARTIN 91	511207.388888888889	11	1	2	0	0	6	785	152	505	96	332	19	225	23	121	19	167	10	89	290	21	1
194	8	AV.LAS HERAS 175	153236.611111111111	6	1	5	0	0	1	962	174	581	165	341	25	207	17	198	29	243	25	74	268	17	1
629	0	JUAN B. JUSTO  986	793323.666666666667	6	1	2	0	1	1	962	174	581	165	341	25	207	17	198	29	243	25	74	268	17	1
576	0	JUAN B. JUSTO 1433	447594.722222222222	8	1	0	0	0	0	586	97	388	56	307	17	165	17	88	16	191	14	52	179	5	2
56	16	AV. 9 DE JULIO  1401	136450.333333333333	8	1	0	0	2	0	586	97	388	56	307	17	165	17	88	16	191	14	52	179	5	2
56	0	AV. 9 DE JULIO 1633	1228009.777777777778	8	1	1	0	0	1	586	97	388	56	307	17	165	17	88	16	191	14	52	179	5	2
651	1	Lisandro de la Torre  425	42583.562500000000	16	0	0	0	0	1	497	87	363	29	264	16	166	8	49	9	119	9	47	229	5	2
651	0	LISANDRO DE LA TORRE  201	650302.500000000000	16	0	2	1	0	0	497	87	363	29	264	16	166	8	49	9	119	9	47	229	5	2
375	1	ARTURO ILLIA  363	207746.900000000000	11	0	8	0	1	0	666	99	463	80	371	15	192	19	76	14	156	19	69	281	15	2
73	0	OBLIGADO 283	789289.000000000000	11	0	8	0	0	3	666	99	463	80	371	15	192	19	76	14	156	19	69	281	15	2
2	5	Colon  320	320549.166666666667	11	1	8	0	0	4	666	99	463	80	371	15	192	19	76	14	156	19	69	281	15	2
2	4	Frondizi  249	452615.000000000000	11	1	2	0	0	1	666	99	463	80	371	15	192	19	76	14	156	19	69	281	15	2
2	3	Arturo Frondizi  369	50069.611111111111	11	1	3	0	0	5	666	99	463	80	371	15	192	19	76	14	156	19	69	281	15	2
233	0	AMEGUINO  45 (UF. 42)	632606.277777777778	11	1	3	0	0	6	666	99	463	80	371	15	192	19	76	14	156	19	69	281	15	2
490	0	AV. ALBERDI  441	361487.277777777778	11	1	3	0	0	6	666	99	463	80	371	15	192	19	76	14	156	19	69	281	15	2
580	0	COLON  701	666775.666666666667	24	1	5	0	0	0	755	116	502	102	383	25	254	12	88	21	180	18	91	300	20	2
612	0	LISANDRO DE LA TORRE  2040	1887329.833333333333	53	0	0	0	0	1	1015	275	579	71	408	28	318	49	361	17	316	39	34	90	3	6
352	11	FRANKLIN 736	739152.222222222222	53	1	0	0	0	1	1015	275	579	71	408	28	318	49	361	17	316	39	34	90	3	6
537	1	Lisandro de la Torre  2807	487356.285714285714	53	0	0	0	0	1	1015	275	579	71	408	28	318	49	361	17	316	39	34	90	3	6
352	16	AV.CASTELLI 1329	482941.666666666667	28	1	0	0	0	0	925	239	522	51	435	28	242	25	351	25	354	2	19	74	2	4
352	0	AV. SAN MARTIN 629	907969.277777777778	22	1	6	0	0	0	397	58	285	38	179	16	166	9	36	16	77	16	29	196	10	2
635	0	AV. ALBERDI  699	501349.444444444444	2	1	2	0	0	1	601	69	420	85	328	18	201	8	72	21	136	4	89	239	18	0
352	28	AV.CASTELLI 437	46239.888888888889	2	1	0	0	0	0	601	69	420	85	328	18	201	8	72	21	136	4	89	239	18	0
254	7	AMEGHINO  1327	350277.833333333333	10	0	1	0	0	0	789	129	532	79	437	27	222	21	146	20	187	18	90	270	7	4
194	0	AV. LAS HERAS 375 - local 2	476580.055555555556	6	1	4	0	0	0	634	99	466	38	334	18	204	15	35	26	121	9	64	300	38	4
254	0	A. ILLIA 1455	688056.277777777778	0	0	2	0	0	0	340	52	226	42	179	13	103	13	72	3	118	4	45	71	1	2
513	2	AV. LAS HERAS  1000	580098.625000000000	3	1	2	0	0	0	651	159	416	14	342	14	153	30	47	60	141	26	88	214	10	3
635	1	CARLOS DODERO  576	154765.500000000000	3	1	0	0	0	0	651	159	416	14	342	14	153	30	47	60	141	26	88	214	10	3
406	0	AV. EDISÓN  1505	414876.777777777778	44	1	1	0	1	1	1631	532	833	26	716	52	360	66	588	154	423	96	59	93	4	9
406	1	Av. Edison  1232	342090.384615384615	44	1	5	0	1	0	1631	532	833	26	716	52	360	66	588	154	423	96	59	93	4	9
255	22	AV.PIACENTINI  1456	309813.666666666667	44	1	0	0	0	1	1631	532	833	26	716	52	360	66	588	154	423	96	59	93	4	9
73	10	Seitor 1175 Bº METALURGICO	497906.555555555556	44	1	0	0	0	0	1631	532	833	26	716	52	360	66	588	154	423	96	59	93	4	9
196	0	QTA. 4  Pc. 9 U.F. 6 .B°.GUIRALDES	2051893.222222222222	44	1	1	0	0	0	1631	532	833	26	716	52	360	66	588	154	423	96	59	93	4	9
513	0	AV. EDISON  1057- Bº INDEPENDENCIA	1032278.111111111111	30	1	3	0	1	0	1532	230	1099	119	437	92	336	23	519	35	600	21	132	133	3	6
396	0	AV. EDISON  725   VILLA CENTENARIO	1083876.277777777778	30	1	1	0	0	0	1532	230	1099	119	437	92	336	23	519	35	600	21	132	133	3	6
352	32	FORTIN WARNES 842	223472.944444444444	34	1	0	1	0	0	1110	283	644	82	506	26	344	28	375	61	342	41	72	107	0	4
594	1	SOLDADO AQUILERA ESQUINA AV. CHACO	1040124.611111111111	3	1	2	0	0	0	1223	298	770	59	567	55	319	32	303	83	454	35	81	134	5	9
255	17	FORTIN RIVADAVIA  1531	68545.166666666667	71	1	2	0	0	0	1043	335	527	26	438	37	254	29	397	119	262	61	28	24	1	9
396	3	LISANDRO DE LA TORRE  2285	660450.222222222222	28	1	0	0	0	0	986	281	575	46	431	24	291	33	396	16	325	11	46	47	1	13
311	10	AV. SOBERANIA NACIONAL  842	760767.000000000000	28	1	0	0	0	0	1002	258	598	51	419	39	318	29	384	30	356	16	42	63	0	7
396	1	JUAN DE DIOS MENA  2073	181644.166666666667	28	1	1	0	0	0	1002	258	598	51	419	39	318	29	384	30	356	16	42	63	0	7
