Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:19;3;0005C;5;1;00462X;Capital;;;;;nulos;8
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:19;3;0005C;5;1;00462X;Capital;;;;;recurridos;0
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:19;3;0005C;5;1;00462X;Capital;;;;;comando;0
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:19;3;0005C;5;1;00462X;Capital;;;;;blancos;4
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:19;3;0005C;5;1;00462X;Capital;;;;;impugnados;0
COMPROMISO FEDERAL;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:19;3;0005C;5;1;00462X;Capital;82;116;1;ACCION CORRENTINA;positivo;3
FRENTE DE TODOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:19;3;0005C;5;1;00462X;Capital;501;117;1;CELESTE Y BLANCA;positivo;82
FRENTE DE TODOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:19;3;0005C;5;1;00462X;Capital;501;117;2;GANEMOS CORRIENTES;positivo;10
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:19;3;0005C;5;1;00462X;Capital;502;118;3;VERDE;positivo;72
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:19;3;0005C;5;1;00462X;Capital;502;118;2;VAMOS JUNTOS;positivo;29
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:19;3;0005C;5;1;00462X;Capital;502;118;1;LIBERTAD + VALORES + NOSOTROS SOMOS EL CAMBIO;positivo;12
VAMOS CON VOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:19;3;0005C;5;1;00462X;Capital;503;119;2;LIBRES;positivo;13
VAMOS CON VOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:19;3;0005C;5;1;00462X;Capital;503;119;1;ENCUENTRO SOCIAL AMPLIO;positivo;7
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;2;0005C;5;1;00463X;Capital;;;;;nulos;13
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;2;0005C;5;1;00463X;Capital;;;;;recurridos;0
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;2;0005C;5;1;00463X;Capital;;;;;comando;0
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;2;0005C;5;1;00463X;Capital;;;;;blancos;7
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;2;0005C;5;1;00463X;Capital;;;;;impugnados;0
COMPROMISO FEDERAL;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;2;0005C;5;1;00463X;Capital;82;116;1;ACCION CORRENTINA;positivo;7
FRENTE DE TODOS;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;2;0005C;5;1;00463X;Capital;501;117;1;CELESTE Y BLANCA;positivo;72
FRENTE DE TODOS;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;2;0005C;5;1;00463X;Capital;501;117;2;GANEMOS CORRIENTES;positivo;12
ECO + VAMOS CORRIENTES;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;2;0005C;5;1;00463X;Capital;502;118;3;VERDE;positivo;94
ECO + VAMOS CORRIENTES;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;2;0005C;5;1;00463X;Capital;502;118;1;LIBERTAD + VALORES + NOSOTROS SOMOS EL CAMBIO;positivo;18
VAMOS CON VOS;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;2;0005C;5;1;00463X;Capital;503;119;2;LIBRES;positivo;11
VAMOS CON VOS;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;2;0005C;5;1;00463X;Capital;503;119;1;ENCUENTRO SOCIAL AMPLIO;positivo;2
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;;;;;nulos;13
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;;;;;recurridos;0
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;;;;;comando;0
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;;;;;blancos;12
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;;;;;impugnados;0
COMPROMISO FEDERAL;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;82;116;1;ACCION CORRENTINA;positivo;7
FRENTE DE TODOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;501;117;1;CELESTE Y BLANCA;positivo;68
FRENTE DE TODOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;501;117;2;GANEMOS CORRIENTES;positivo;12
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;502;118;3;VERDE;positivo;72
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;502;118;2;VAMOS JUNTOS;positivo;21
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;502;118;1;LIBERTAD + VALORES + NOSOTROS SOMOS EL CAMBIO;positivo;18
VAMOS CON VOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;503;119;2;LIBRES;positivo;11
VAMOS CON VOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:49;3;0005C;5;1;00463X;Capital;503;119;1;ENCUENTRO SOCIAL AMPLIO;positivo;2
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;;;;;nulos;7
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;;;;;recurridos;0
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;;;;;comando;0
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;;;;;blancos;0
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;;;;;impugnados;0
COMPROMISO FEDERAL;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;82;116;1;ACCION CORRENTINA;positivo;5
FRENTE DE TODOS;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;501;117;1;CELESTE Y BLANCA;positivo;76
FRENTE DE TODOS;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;501;117;2;GANEMOS CORRIENTES;positivo;10
ECO + VAMOS CORRIENTES;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;502;118;3;VERDE;positivo;128
ECO + VAMOS CORRIENTES;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;502;118;1;LIBERTAD + VALORES + NOSOTROS SOMOS EL CAMBIO;positivo;19
VAMOS CON VOS;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;503;119;2;LIBRES;positivo;8
VAMOS CON VOS;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;2;0005C;5;1;00464X;Capital;503;119;1;ENCUENTRO SOCIAL AMPLIO;positivo;3
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;;;;;nulos;7
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;;;;;recurridos;0
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;;;;;comando;0
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;;;;;blancos;0
;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;;;;;impugnados;0
COMPROMISO FEDERAL;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;82;116;1;ACCION CORRENTINA;positivo;5
FRENTE DE TODOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;501;117;1;CELESTE Y BLANCA;positivo;80
FRENTE DE TODOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;501;117;2;GANEMOS CORRIENTES;positivo;9
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;502;118;3;VERDE;positivo;83
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;502;118;2;VAMOS JUNTOS;positivo;31
ECO + VAMOS CORRIENTES;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;502;118;1;LIBERTAD + VALORES + NOSOTROS SOMOS EL CAMBIO;positivo;21
VAMOS CON VOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;503;119;2;LIBRES;positivo;10
VAMOS CON VOS;DIPUTADOS NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:16;3;0005C;5;1;00464X;Capital;503;119;1;ENCUENTRO SOCIAL AMPLIO;positivo;3
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;;;;;nulos;8
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;;;;;recurridos;0
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;;;;;comando;0
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;;;;;blancos;2
;SENADORES NACIONALES;43;Corrientes;ESC.ESPECIAL N§1 TOBAR GARCIA;12/09/2021 19:29;2;0005C;5;1;00465X;Capital;;;;;impugnados;0
